Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 3,Gas,KWh,Meter 1,30/04/2013,0,0,0,0,3.113,3.113,0,0,0,59.147,130.746,152.537,161.876,99.616,99.616,87.164,52.921,90.277,40.469,68.486,28.017,28.017,31.13,28.017,6.226,28.017,28.017,28.017,28.017,0,28.017,34.243,31.13,6.226,65.373,28.017,0,3.113,3.113,0,0,0,0,0,0,9.339,0,0
Building 3,Gas,KWh,Meter 1,01/05/2013,0,0,0,0,6.226,0,0,0,0,0,143.198,130.746,99.616,161.876,52.921,102.729,71.599,74.712,34.243,28.017,52.921,34.243,24.904,0,34.243,65.373,28.017,28.017,0,28.017,28.017,31.13,0,28.017,0,0,34.243,0,9.339,0,0,0,0,0,0,3.113,3.113,0
Building 3,Gas,KWh,Meter 1,02/05/2013,0,0,0,0,3.113,3.113,0,0,0,0,0,121.407,174.328,140.085,80.938,105.842,59.147,77.825,43.582,65.373,28.017,37.356,21.791,24.904,3.113,49.808,0,0,0,0,0,6.226,40.469,0,0,0,0,0,6.226,0,0,0,0,0,0,9.339,0,0
Building 3,Gas,KWh,Meter 1,03/05/2013,0,0,0,0,6.226,59.147,40.469,0,37.356,0,0,6.226,52.921,233.475,108.955,31.13,31.13,34.243,59.147,34.243,31.13,28.017,28.017,34.243,34.243,31.13,0,28.017,28.017,0,34.243,28.017,28.017,0,0,0,3.113,6.226,0,0,0,0,0,3.113,3.113,0,0,0
Building 3,Gas,KWh,Meter 1,04/05/2013,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,0,6.226
Building 3,Gas,KWh,Meter 1,05/05/2013,0,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,3.113,3.113,0,0,0,0,0,9.339,0,0,0,0,0,0,6.226,0,0,0,0,0,0,6.226,0,0,0,0,0,0,9.339,0,0
Building 3,Gas,KWh,Meter 1,06/05/2013,0,0,0,6.226,0,0,0,0,0,6.226,3.113,0,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,0,0,6.226,0,0,0,0,0,0,0,9.339,0,0,0,0,0,0,6.226,0,0,0
Building 3,Gas,KWh,Meter 1,07/05/2013,0,0,3.113,6.226,0,0,0,0,0,6.226,0,84.051,236.588,155.65,102.729,43.582,34.243,28.017,28.017,0,31.13,31.13,9.339,24.904,28.017,28.017,28.017,0,37.356,28.017,0,28.017,0,0,0,3.113,6.226,0,0,0,0,0,0,6.226,0,0,0,0
Building 3,Gas,KWh,Meter 1,08/05/2013,0,0,9.339,0,0,0,0,0,0,6.226,0,0,0,74.712,102.729,77.825,31.13,31.13,28.017,31.13,28.017,31.13,6.226,28.017,31.13,28.017,28.017,6.226,31.13,28.017,0,28.017,28.017,34.243,3.113,31.13,0,0,0,0,6.226,0,0,0,0,0,6.226,0
Building 3,Gas,KWh,Meter 1,09/05/2013,0,0,0,0,9.339,0,0,0,56.034,0,46.695,121.407,164.989,130.746,105.842,105.842,56.034,56.034,31.13,31.13,31.13,52.921,43.582,34.243,56.034,40.469,31.13,34.243,28.017,28.017,43.582,52.921,65.373,34.243,40.469,24.904,0,6.226,0,0,0,0,0,6.226,0,0,0,0
Building 3,Gas,KWh,Meter 1,10/05/2013,0,9.339,0,0,0,0,0,6.226,59.147,40.469,49.808,124.52,146.311,115.181,105.842,102.729,102.729,46.695,0,6.226,0,77.825,40.469,59.147,37.356,31.13,31.13,49.808,9.339,0,6.226,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0,9.339,0
Building 3,Gas,KWh,Meter 1,11/05/2013,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,3.113,6.226,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,3.113,6.226,0,0,0,0
Building 3,Gas,KWh,Meter 1,12/05/2013,6.226,0,0,0,0,0,9.339,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,6.226,3.113,0,0,0,0,6.226,0,0,0,0,3.113,3.113,0,0,0,0,9.339,0,0,0,0,3.113,3.113,0,0
Building 3,Gas,KWh,Meter 1,13/05/2013,0,0,9.339,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,9.339,0,0,0,6.226,3.113,0,0,0,6.226,0,0,0,0,6.226,0,0,0,9.339,0,0,0,0,0,6.226,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,14/05/2013,9.339,0,0,0,0,0,6.226,0,0,0,0,0,6.226,0,0,0,0,0,9.339,0,0,0,3.113,3.113,0,0,0,9.339,0,0,0,0,6.226,0,0,0,6.226,3.113,0,0,0,0,6.226,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,15/05/2013,6.226,0,0,0,0,0,9.339,0,0,0,0,3.113,3.113,0,0,0,0,9.339,0,205.458,236.588,186.78,112.068,115.181,68.486,65.373,62.26,28.017,40.469,28.017,28.017,28.017,0,62.26,37.356,31.13,0,0,0,0,0,6.226,0,0,0,0,0,9.339
Building 3,Gas,KWh,Meter 1,16/05/2013,0,0,0,0,37.356,105.842,74.712,37.356,155.65,96.503,65.373,108.955,93.39,112.068,96.503,31.13,37.356,56.034,37.356,28.017,31.13,28.017,6.226,28.017,31.13,28.017,37.356,28.017,9.339,0,0,0,0,0,59.147,62.26,0,0,0,0,0,0,9.339,0,0,0,0,0
Building 3,Gas,KWh,Meter 1,17/05/2013,6.226,0,0,0,0,0,0,6.226,0,180.554,99.616,133.859,115.181,161.876,102.729,65.373,80.938,31.13,28.017,31.13,34.243,28.017,31.13,28.017,28.017,31.13,12.452,21.791,28.017,31.13,28.017,28.017,28.017,6.226,40.469,0,0,0,0,6.226,0,0,0,0,0,3.113,3.113,71.599
